Code région;Nom de la région;Code département;Code arrondissement départemental;Code canton;Code commune;Nom de la commune;Population municipale;Population comptée à part;Population totale;Année recensement;Année utilisation;Code INSEE (commune ou arrondissement);Superficie de la commune;Statut;Code INSEE de la commune;Nom de la commune IGN;Nom du département IGN;Nom de la région;Code EPCI;Code EPCI;EPCI
04;La Réunion;974;3;31;419;Sainte-Rose;6809;71;6880;2008;2011;97419;178.21;Commune;97419;Sainte-Rose;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;05;405;Petite-Île;11582;109;11691;2009;2012;97405;33.83;Commune;97405;Petite-Île;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;06;402;Bras-Panon;12616;151;12767;2013;2016;97402;87.26;Commune;97402;Bras-Panon;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est
04;La Réunion;974;3;08;419;Sainte-Rose;6782;85;6867;2013;2016;97419;178.21;Commune;97419;Sainte-Rose;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est
04;La Réunion;974;3;90;410;Saint-Benoît;35733;238;35971;2011;2014;97410;229.79;Commune;97410;Saint-Benoît;LA REUNION;LA REUNION;;;
04;La Réunion;974;1;30;418;Sainte-Marie;29962;360;30322;2011;2014;97418;88.65;Commune;97418;;;;;;
04;La Réunion;974;3;06;402;Bras-Panon;12735;160;12895;2015;2018;97402;87.26;Commune;97402;Bras-Panon;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est (Cirest)
04;La Réunion;974;4;03;408;La Possession;32720;386;33106;2015;2018;97408;118.76;Commune;97408;;;;249740101;249740101;CA Territoire de la Côte Ouest (Tco)
04;La Réunion;974;2;22;405;Petite-Île;12143;112;12255;2015;2018;97405;33.83;Commune;97405;Petite-Île;LA REUNION;LA REUNION;249740077;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;3;06;421;Salazie;7384;109;7493;2015;2018;97421;103.82;Commune;97421;Salazie;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est (Cirest)
04;La Réunion;974;1;32;420;Sainte-Suzanne;22574;180;22754;2011;2014;97420;57.83;Commune;97420;Sainte-Suzanne;LA REUNION;LA REUNION;;;
04;La Réunion;974;4;97;415;Saint-Paul;103346;1472;104818;2010;2013;97415;240.51;Commune;97415;Saint-Paul;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;22;424;Cilaos;5796;92;5888;2007;2010;97424;84.4;Commune;97424;Cilaos;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;06;406;La Plaine-des-Palmistes;4713;93;4806;2007;2010;97406;83.05;Commune;97406;La Plaine-des-Palmistes;LA REUNION;LA REUNION;;;
04;La Réunion;974;1;93;411;Saint-Denis;140733;1508;142241;2007;2010;97411;141.5;Commune;97411;Saint-Denis;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;01;401;Les Avirons;9180;149;9329;2006;2009;97401;26.23;Commune;97401;Les Avirons;LA REUNION;LA REUNION;;;
04;La Réunion;974;3;07;406;La Plaine-des-Palmistes;6365;89;6454;2016;2019;97406;83.05;Commune;97406;La Plaine-des-Palmistes;LA REUNION;LA REUNION;249740093;249740093;CA Intercommunale de la Réunion Est (Cirest)
04;La Réunion;974;2;03;403;Entre-Deux;6176;87;6263;2009;2012;97403;51.37;Commune;97403;Entre-Deux;LA REUNION;LA REUNION;;;
04;La Réunion;974;2;22;405;Petite-Île;12035;101;12136;2014;2017;97405;33.83;Commune;97405;Petite-Île;LA REUNION;LA REUNION;249740077;249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires)
04;La Réunion;974;2;03;403;Entre-Deux;6405;66;6471;2012;2015;97403;51.37;Commune;97403;Entre-Deux;LA REUNION;LA REUNION;249740085;249740085;CA du Sud
